Jenis Kelamin,Umur_Group,Wilayah,Tanggapan_Final,Dimensi_Utama,Sub_Dimensi,Sentimen
Perempuan,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",senang main sama kakak kakak cfs,Lainnya,3.4.1 Kehilangan keluarga,Positif
Perempuan,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",pikir pr susah sekali,1. Pendidikan,1.1.3 Perubahan aktivitas pembelajaran,Negatif
Perempuan,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",lihat banyak lumpur,2. Kesehatan,2.2.3 Paparan lingkungan,Netral
Perempuan,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",lihat sampah ada air,5. Pengetahuan Bencana,2.2.3 Paparan lingkungan,Netral
Perempuan,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",lihat sampah ada air,5. Pengetahuan Bencana,5.1.1 Sampah,Netral
Perempuan,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",dengar helikopter lewat,Lainnya,Lainnya,Netral
Perempuan,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",dengar bantu datang,5. Pengetahuan Bencana,4.3.1 Akses bantuan,Netral
Perempuan,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",dengar bantu datang,5. Pengetahuan Bencana,5.3.1 Solidaritas,Netral
Perempuan,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",telinga sakit,2. Kesehatan,2.2.6 Penyakit lainnya,Negatif
Perempuan,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",minum susu teh bantu,2. Kesehatan,2.2.7 Keterbatasan makanan,Netral
Perempuan,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",minum susu teh bantu,2. Kesehatan,4.3.1 Akses bantuan,Netral
Perempuan,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",minum susu teh bantu,2. Kesehatan,5.3.1 Solidaritas,Netral
Perempuan,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",lama banjir minum air hujan,2. Kesehatan,2.2.7 Keterbatasan makanan,Netral
Perempuan,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",bahu sakit senggol,2. Kesehatan,2.2.6 Penyakit lainnya,Negatif
Perempuan,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",bahu sakit senggol,2. Kesehatan,2.2.2 Kelelahan fisik,Negatif
Perempuan,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",sakit bahu tidur sampan,2. Kesehatan,2.2.6 Penyakit lainnya,Negatif
Perempuan,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",banjir jadi sedih,3. Perlindungan Anak,3.3.4 Kesedihan empatik,Negatif
Laki laki,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",pikir main,Lainnya,Lainnya,Netral
Laki laki,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",main sama dafi,Lainnya,Lainnya,Netral
Laki laki,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",bersenangsenang farhan,Lainnya,Lainnya,Positif
Laki laki,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",lihat banyak sampah,5. Pengetahuan Bencana,2.2.3 Paparan lingkungan,Netral
Laki laki,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",lihat banyak sampah,5. Pengetahuan Bencana,5.1.1 Sampah,Netral
Laki laki,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",banyak lumpur,2. Kesehatan,2.2.3 Paparan lingkungan,Netral
Laki laki,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",dengar orangorang banjir,Lainnya,Lainnya,Netral
Laki laki,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",minum aqua,2. Kesehatan,2.2.7 Keterbatasan makanan,Netral
Laki laki,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",makan indomie,2. Kesehatan,2.2.7 Keterbatasan makanan,Netral
Laki laki,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",makan indomie,2. Kesehatan,4.3.2 Bantuan pangan,Netral
Laki laki,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",bahu sakit pegalpegal suruh cuci piring,2. Kesehatan,1.2.2 Pelibatan pembersihan,Negatif
Laki laki,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",bahu sakit pegalpegal suruh cuci piring,2. Kesehatan,2.2.6 Penyakit lainnya,Negatif
Laki laki,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",bahu sakit pegalpegal suruh cuci piring,2. Kesehatan,2.2.2 Kelelahan fisik,Negatif
Laki laki,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",sedih tinggal rumah,3. Perlindungan Anak,3.3.4 Kesedihan empatik,Negatif
Laki laki,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",sedih tinggal rumah,3. Perlindungan Anak,4.1.1.2 Kerusakan rumah,Negatif
Laki laki,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",sedih ungsi,3. Perlindungan Anak,3.3.4 Kesedihan empatik,Negatif
Laki laki,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",senang dapat bantu,5. Pengetahuan Bencana,4.3.1 Akses bantuan,Positif
Laki laki,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",senang dapat bantu,5. Pengetahuan Bencana,5.3.1 Solidaritas,Positif
Perempuan,12-14 tahun,"Desa Kuala Penaga, Aceh Tamiang",sedih pikir ga ngaji,1. Pendidikan,1.1.3 Perubahan aktivitas pembelajaran,Negatif
Perempuan,12-14 tahun,"Desa Kuala Penaga, Aceh Tamiang",sedih pikir ga ngaji,1. Pendidikan,3.3.4 Kesedihan empatik,Negatif
Perempuan,12-14 tahun,"Desa Kuala Penaga, Aceh Tamiang",sedih nggak sekolah,1. Pendidikan,1.1.3 Perubahan aktivitas pembelajaran,Negatif
Perempuan,12-14 tahun,"Desa Kuala Penaga, Aceh Tamiang",sedih nggak sekolah,1. Pendidikan,3.3.4 Kesedihan empatik,Negatif
Perempuan,12-14 tahun,"Desa Kuala Penaga, Aceh Tamiang",sekarang senang,Lainnya,Lainnya,Positif
Perempuan,12-14 tahun,"Desa Kuala Penaga, Aceh Tamiang",senang hari,Lainnya,Lainnya,Positif
Perempuan,12-14 tahun,"Desa Kuala Penaga, Aceh Tamiang",banyak debu,2. Kesehatan,2.2.3 Paparan lingkungan,Netral
Perempuan,12-14 tahun,"Desa Kuala Penaga, Aceh Tamiang",banyak lumpur,2. Kesehatan,2.2.3 Paparan lingkungan,Netral
Perempuan,12-14 tahun,"Desa Kuala Penaga, Aceh Tamiang",dengar orangorang tinggal,Lainnya,Lainnya,Netral
Perempuan,12-14 tahun,"Desa Kuala Penaga, Aceh Tamiang",dibilangin orang tua buat ambil bantu,5. Pengetahuan Bencana,4.3.1 Akses bantuan,Netral
Perempuan,12-14 tahun,"Desa Kuala Penaga, Aceh Tamiang",dibilangin orang tua buat ambil bantu,5. Pengetahuan Bencana,4.2.1 Perubahan pola asuh,Netral
Perempuan,12-14 tahun,"Desa Kuala Penaga, Aceh Tamiang",dibilangin orang tua buat ambil bantu,5. Pengetahuan Bencana,5.3.1 Solidaritas,Netral
Perempuan,12-14 tahun,"Desa Kuala Penaga, Aceh Tamiang",ungsi makan mie minum aqua,2. Kesehatan,2.2.7 Keterbatasan makanan,Netral
Perempuan,12-14 tahun,"Desa Kuala Penaga, Aceh Tamiang",ungsi makan mie minum aqua,2. Kesehatan,4.3.2 Bantuan pangan,Netral
Perempuan,12-14 tahun,"Desa Kuala Penaga, Aceh Tamiang",suruh mamak angkat baju waktu banjir,Lainnya,1.2.2 Pelibatan pembersihan,Netral
Perempuan,12-14 tahun,"Desa Kuala Penaga, Aceh Tamiang",suruh mamak angkat baju waktu banjir,Lainnya,6.1.4.1 Kebutuhan sandang,Netral
Perempuan,12-14 tahun,"Desa Kuala Penaga, Aceh Tamiang",perkakas rumah hanyut banjir,4. Kesejahteraan Sosial,4.1.1.2 Kerusakan rumah,Netral
Perempuan,12-14 tahun,"Desa Kuala Penaga, Aceh Tamiang",rumah bolongbolong banjir,4. Kesejahteraan Sosial,4.1.1.2 Kerusakan rumah,Netral
Perempuan,12-14 tahun,"Desa Kuala Penaga, Aceh Tamiang",kereta rusak,Lainnya,Lainnya,Negatif
Perempuan,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",sering sakit perut,2. Kesehatan,2.2.6 Penyakit lainnya,Negatif
Perempuan,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",sering sakit perut,2. Kesehatan,2.2.5 Penyakit pencernaan,Negatif
Perempuan,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",bersih sampah,5. Pengetahuan Bencana,1.2.2 Pelibatan pembersihan,Netral
Perempuan,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",bersih sampah,5. Pengetahuan Bencana,2.2.3 Paparan lingkungan,Netral
Perempuan,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",bersih sampah,5. Pengetahuan Bencana,5.1.1 Sampah,Netral
Perempuan,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",bersih sampah,5. Pengetahuan Bencana,5.2.2 Menjaga lingkungan,Netral
Perempuan,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",lelah bersihin sekolah,1. Pendidikan,1.1.3 Perubahan aktivitas pembelajaran,Negatif
Perempuan,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",lelah bersihin sekolah,1. Pendidikan,1.2.2 Pelibatan pembersihan,Negatif
Perempuan,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",lelah bersihin sekolah,1. Pendidikan,2.2.2 Kelelahan fisik,Negatif
Perempuan,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",lelah bersihin sekolah,1. Pendidikan,5.2.2 Menjaga lingkungan,Negatif
Perempuan,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",suruh cuci piring,Lainnya,1.2.2 Pelibatan pembersihan,Netral
Perempuan,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",suruh sapu sekolah,1. Pendidikan,1.1.3 Perubahan aktivitas pembelajaran,Netral
Perempuan,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",suruh sapu sekolah,1. Pendidikan,1.2.2 Pelibatan pembersihan,Netral
Perempuan,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",banjir belanja warung,Lainnya,Lainnya,Netral
Laki laki,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",sakit perut karna makan mie terlalu banyak muntah,2. Kesehatan,2.2.7 Keterbatasan makanan,Negatif
Laki laki,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",sakit perut karna makan mie terlalu banyak muntah,2. Kesehatan,2.2.6 Penyakit lainnya,Negatif
Laki laki,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",sakit perut karna makan mie terlalu banyak muntah,2. Kesehatan,2.2.5 Penyakit pencernaan,Negatif
Laki laki,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",sakit perut karna makan mie terlalu banyak muntah,2. Kesehatan,4.3.2 Bantuan pangan,Negatif
Laki laki,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",makan mie mentah,2. Kesehatan,2.2.7 Keterbatasan makanan,Netral
Laki laki,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",makan mie mentah,2. Kesehatan,4.3.2 Bantuan pangan,Netral
Laki laki,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",suruh angkatangkat barang kursi,4. Kesejahteraan Sosial,1.2.2 Pelibatan pembersihan,Netral
Laki laki,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",bersih kelas,1. Pendidikan,1.1.3 Perubahan aktivitas pembelajaran,Netral
Laki laki,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",bersih kelas,1. Pendidikan,1.2.2 Pelibatan pembersihan,Netral
Laki laki,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",bersih kelas,1. Pendidikan,5.2.2 Menjaga lingkungan,Netral
Laki laki,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",paksa bersih sapu rumah,4. Kesejahteraan Sosial,1.2.2 Pelibatan pembersihan,Netral
Laki laki,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",paksa bersih sapu rumah,4. Kesejahteraan Sosial,4.1.1.2 Kerusakan rumah,Netral
Laki laki,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",paksa bersih sapu rumah,4. Kesejahteraan Sosial,5.2.2 Menjaga lingkungan,Netral
Laki laki,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",suruh angkat air paret cuci mandi,Lainnya,1.2.2 Pelibatan pembersihan,Netral
Laki laki,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",ungsi pusung kapal,Lainnya,Lainnya,Netral
Laki laki,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",ungsi rumah nenek,4. Kesejahteraan Sosial,4.1.1.2 Kerusakan rumah,Netral
Laki laki,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",jalan rumah sekolah,1. Pendidikan,1.1.3 Perubahan aktivitas pembelajaran,Netral
Laki laki,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",jalan rumah sekolah,1. Pendidikan,4.1.1.2 Kerusakan rumah,Netral
Laki laki,8-11 tahun,"Desa Kuala Penaga, Aceh Tamiang",jalan rumah sekolah,1. Pendidikan,6.2.1 Infrastruktur publik,Netral
Perempuan,12-14 tahun,"Desa Kuala Penaga, Aceh Tamiang",perut sakit karna makan indomie waktu banjir,2. Kesehatan,2.2.7 Keterbatasan makanan,Negatif
Perempuan,12-14 tahun,"Desa Kuala Penaga, Aceh Tamiang",perut sakit karna makan indomie waktu banjir,2. Kesehatan,2.2.6 Penyakit lainnya,Negatif
Perempuan,12-14 tahun,"Desa Kuala Penaga, Aceh Tamiang",perut sakit karna makan indomie waktu banjir,2. Kesehatan,2.2.5 Penyakit pencernaan,Negatif
Perempuan,12-14 tahun,"Desa Kuala Penaga, Aceh Tamiang",perut sakit karna makan indomie waktu banjir,2. Kesehatan,4.3.2 Bantuan pangan,Negatif
Perempuan,12-14 tahun,"Desa Kuala Penaga, Aceh Tamiang",perut sakit minum air hujan,2. Kesehatan,2.2.7 Keterbatasan makanan,Negatif
Perempuan,12-14 tahun,"Desa Kuala Penaga, Aceh Tamiang",perut sakit minum air hujan,2. Kesehatan,2.2.6 Penyakit lainnya,Negatif
Perempuan,12-14 tahun,"Desa Kuala Penaga, Aceh Tamiang",perut sakit minum air hujan,2. Kesehatan,2.2.5 Penyakit pencernaan,Negatif
Perempuan,12-14 tahun,"Desa Kuala Penaga, Aceh Tamiang",perut sakit menstruasi,2. Kesehatan,2.2.6 Penyakit lainnya,Negatif
Perempuan,12-14 tahun,"Desa Kuala Penaga, Aceh Tamiang",perut sakit menstruasi,2. Kesehatan,2.2.5 Penyakit pencernaan,Negatif
Perempuan,12-14 tahun,"Desa Kuala Penaga, Aceh Tamiang",waktu banjir angkat barangbarang,4. Kesejahteraan Sosial,1.2.2 Pelibatan pembersihan,Netral
Perempuan,12-14 tahun,"Desa Kuala Penaga, Aceh Tamiang",angkat air,Lainnya,1.2.2 Pelibatan pembersihan,Netral
Perempuan,12-14 tahun,"Desa Kuala Penaga, Aceh Tamiang",bersih rumah bersihbersih sekolah,1. Pendidikan,1.1.3 Perubahan aktivitas pembelajaran,Netral
Perempuan,12-14 tahun,"Desa Kuala Penaga, Aceh Tamiang",bersih rumah bersihbersih sekolah,1. Pendidikan,1.2.2 Pelibatan pembersihan,Netral
Perempuan,12-14 tahun,"Desa Kuala Penaga, Aceh Tamiang",bersih rumah bersihbersih sekolah,1. Pendidikan,4.1.1.2 Kerusakan rumah,Netral
Perempuan,12-14 tahun,"Desa Kuala Penaga, Aceh Tamiang",bersih rumah bersihbersih sekolah,1. Pendidikan,5.2.2 Menjaga lingkungan,Netral
Perempuan,12-14 tahun,"Desa Kuala Penaga, Aceh Tamiang",suruh angkat baju banjir,Lainnya,1.2.2 Pelibatan pembersihan,Netral
Perempuan,12-14 tahun,"Desa Kuala Penaga, Aceh Tamiang",suruh angkat baju banjir,Lainnya,6.1.4.1 Kebutuhan sandang,Netral
Perempuan,12-14 tahun,"Desa Kuala Penaga, Aceh Tamiang",banjir pergi sekolah aji,1. Pendidikan,1.1.3 Perubahan aktivitas pembelajaran,Netral
Perempuan,12-14 tahun,"Desa Kuala Penaga, Aceh Tamiang",pergi main bola sama temanteman,3. Perlindungan Anak,Lainnya,Netral
Perempuan,12-14 tahun,"Desa Kuala Penaga, Aceh Tamiang",rok robek tarik teman,3. Perlindungan Anak,Lainnya,Netral
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",takut abang makan buaya,2. Kesehatan,2.2.7 Keterbatasan makanan,Negatif
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",takut abang makan buaya,2. Kesehatan,3.3.1 Kehilangan rasa aman,Negatif
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",takut abang makan buaya,2. Kesehatan,4.3.2 Bantuan pangan,Negatif
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",takut lapar,2. Kesehatan,2.2.7 Keterbatasan makanan,Negatif
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",takut lapar,2. Kesehatan,3.3.1 Kehilangan rasa aman,Negatif
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",kucing rumah,4. Kesejahteraan Sosial,4.1.1.2 Kerusakan rumah,Netral
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",baju sekolah hari rabu,1. Pendidikan,1.1.3 Perubahan aktivitas pembelajaran,Netral
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",baju sekolah hari rabu,1. Pendidikan,6.1.4.1 Kebutuhan sandang,Netral
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",selamat keluarga ungsi atap takut jatuh,3. Perlindungan Anak,3.3.1 Kehilangan rasa aman,Negatif
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",selamat keluarga ungsi atap takut jatuh,3. Perlindungan Anak,3.4.1 Kehilangan keluarga,Negatif
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",pikir kakak keluarga,3. Perlindungan Anak,3.4.1 Kehilangan keluarga,Netral
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",pikir kambing sapi lembu,Lainnya,Lainnya,Netral
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",ayah pulang waktu,Lainnya,3.4.1 Kehilangan keluarga,Netral
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",ayah pulang waktu,Lainnya,6.2.2 Hunian keluarga,Netral
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",sifat orang tua lebih pusing sekarang lebih sedih,3. Perlindungan Anak,3.3.4 Kesedihan empatik,Negatif
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",sifat orang tua lebih pusing sekarang lebih sedih,3. Perlindungan Anak,4.2.1 Perubahan pola asuh,Negatif
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",lingkung rusak,Lainnya,Lainnya,Negatif
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",rumah rusak,4. Kesejahteraan Sosial,4.1.1.2 Kerusakan rumah,Negatif
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",banyak giat resin rumah,4. Kesejahteraan Sosial,4.1.1.2 Kerusakan rumah,Netral
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",papan rumah jebol pintu rumah kamar jebol,4. Kesejahteraan Sosial,4.1.1.2 Kerusakan rumah,Netral
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",mata buram sejak banjir,Lainnya,Lainnya,Netral
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",dengar teman sedih hilang keluarga,3. Perlindungan Anak,3.3.4 Kesedihan empatik,Negatif
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",dengar teman sedih hilang keluarga,3. Perlindungan Anak,3.4.1 Kehilangan keluarga,Negatif
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",rumah keluarga hanyut,3. Perlindungan Anak,3.4.1 Kehilangan keluarga,Netral
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",rumah keluarga hanyut,3. Perlindungan Anak,4.1.1.2 Kerusakan rumah,Netral
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",sering mebicarakan apa yang hilang sama teman,3. Perlindungan Anak,Lainnya,Negatif
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",kondisi aceh tamiang,Lainnya,Lainnya,Netral
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",harga gas galon bensin naik,Lainnya,5.2.1 Evakuasi,Netral
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",makan mie minggu,2. Kesehatan,2.2.7 Keterbatasan makanan,Netral
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",makan mie minggu,2. Kesehatan,4.3.2 Bantuan pangan,Netral
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",roti telur nasi mie takut usus buntu,3. Perlindungan Anak,2.2.7 Keterbatasan makanan,Negatif
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",roti telur nasi mie takut usus buntu,3. Perlindungan Anak,3.3.1 Kehilangan rasa aman,Negatif
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",minum air hujan air banjir bantu air gelas,2. Kesehatan,2.2.7 Keterbatasan makanan,Netral
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",minum air hujan air banjir bantu air gelas,2. Kesehatan,4.3.1 Akses bantuan,Netral
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",minum air hujan air banjir bantu air gelas,2. Kesehatan,5.3.1 Solidaritas,Netral
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",cerita tinggi banjir rusa barang,4. Kesejahteraan Sosial,Lainnya,Netral
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",cerita lihat buaya banjir,Lainnya,Lainnya,Netral
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",pegal,2. Kesehatan,2.2.2 Kelelahan fisik,Negatif
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",gatalgatal karna ga mandi mandi air lumpur,2. Kesehatan,2.2.4 Penyakit kulit,Netral
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",gatalgatal karna ga mandi mandi air lumpur,2. Kesehatan,2.2.3 Paparan lingkungan,Netral
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",mandi air banjir,Lainnya,Lainnya,Netral
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",nimba air,Lainnya,Lainnya,Netral
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",bersihin rumah,4. Kesejahteraan Sosial,1.2.2 Pelibatan pembersihan,Netral
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",bersihin rumah,4. Kesejahteraan Sosial,4.1.1.2 Kerusakan rumah,Netral
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",bersihin rumah,4. Kesejahteraan Sosial,5.2.2 Menjaga lingkungan,Netral
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",ikat pohon banjir,5. Pengetahuan Bencana,5.1.2 Penebangan pohon,Netral
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",tidur sempit karna ungsi sama,Lainnya,Lainnya,Netral
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",susah tidur jadi ngantuk,Lainnya,Lainnya,Negatif
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",sedih ular dapur,3. Perlindungan Anak,3.3.4 Kesedihan empatik,Negatif
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",sedih saudara tinggal,3. Perlindungan Anak,3.3.4 Kesedihan empatik,Negatif
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",panik takut mati dingin khawtir orang tua demam lapar,2. Kesehatan,2.2.7 Keterbatasan makanan,Negatif
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",panik takut mati dingin khawtir orang tua demam lapar,2. Kesehatan,2.2.6 Penyakit lainnya,Negatif
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",panik takut mati dingin khawtir orang tua demam lapar,2. Kesehatan,3.3.1 Kehilangan rasa aman,Negatif
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",panik takut mati dingin khawtir orang tua demam lapar,2. Kesehatan,4.2.1 Perubahan pola asuh,Negatif
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",takut kalajengking,3. Perlindungan Anak,3.3.1 Kehilangan rasa aman,Negatif
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",khawatir takut bisa sekolah,1. Pendidikan,1.1.3 Perubahan aktivitas pembelajaran,Negatif
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",khawatir takut bisa sekolah,1. Pendidikan,3.3.1 Kehilangan rasa aman,Negatif
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",sedih buku al quran rusak,1. Pendidikan,1.1.2 Kerusakan perlengkapan,Negatif
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",sedih buku al quran rusak,1. Pendidikan,3.3.4 Kesedihan empatik,Negatif
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",khawatir ibu lagi hamil,3. Perlindungan Anak,3.3.1 Kehilangan rasa aman,Negatif
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",khawatir ibu lagi hamil,3. Perlindungan Anak,3.4.1 Kehilangan keluarga,Negatif
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",sedih lelah bersihin rumah terus,2. Kesehatan,1.2.2 Pelibatan pembersihan,Negatif
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",sedih lelah bersihin rumah terus,2. Kesehatan,2.2.2 Kelelahan fisik,Negatif
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",sedih lelah bersihin rumah terus,2. Kesehatan,3.3.4 Kesedihan empatik,Negatif
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",sedih lelah bersihin rumah terus,2. Kesehatan,4.1.1.2 Kerusakan rumah,Negatif
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",sedih lelah bersihin rumah terus,2. Kesehatan,5.2.2 Menjaga lingkungan,Negatif
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",pinggang sakit tidur tekuk,2. Kesehatan,2.2.6 Penyakit lainnya,Negatif
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",perut sakit susah buang air kecil besar,2. Kesehatan,2.2.6 Penyakit lainnya,Negatif
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",perut sakit susah buang air kecil besar,2. Kesehatan,2.2.5 Penyakit pencernaan,Negatif
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",pinggang pegal,2. Kesehatan,2.2.2 Kelelahan fisik,Negatif
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",perut sakit,2. Kesehatan,2.2.6 Penyakit lainnya,Negatif
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",perut sakit,2. Kesehatan,2.2.5 Penyakit pencernaan,Negatif
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",sakit pinggang bersihin rumah nyuci baju,2. Kesehatan,1.2.2 Pelibatan pembersihan,Negatif
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",sakit pinggang bersihin rumah nyuci baju,2. Kesehatan,2.2.6 Penyakit lainnya,Negatif
Perempuan,Tidak Diisi,"Desa Sekoci, Langkat",sakit pinggang bersihin rumah nyuci baju,2. Kesehatan,4.1.1.2 Kerusakan rumah,Negatif
