Jenis Kelamin,Umur_Group,Wilayah,Tanggapan,Tanggapan_Final,Dimensi,Sentimen
Perempuan,8-11 tahun,Pidie Jaya,bersih bersih rumah,bersih bersih rumah,4. Kesejahteraan Sosial,Netral
Perempuan,8-11 tahun,Pidie Jaya,bersih sekolah,bersih sekolah,1. Pendidikan,Netral
Perempuan,8-11 tahun,Pidie Jaya,berjalan ke pengungsian,jalan ungsi,Lainnya,Netral
Laki laki,8-11 tahun,Pidie Jaya,ingin rumah bersih kembali,rumah bersih,4. Kesejahteraan Sosial,Netral
Laki laki,8-11 tahun,Pidie Jaya,saya merasa waswas,rasa waswas,Lainnya,Netral
Laki laki,8-11 tahun,Pidie Jaya,sedih liat keadaan,sedih liat ada,3. Perlindungan Anak,Negatif
Laki laki,8-11 tahun,Pidie Jaya,baju seragam,baju seragam,1. Pendidikan,Netral
Laki laki,8-11 tahun,Pidie Jaya,orang membersihkan rumah,orang bersih rumah,4. Kesejahteraan Sosial,Netral
Laki laki,8-11 tahun,Pidie Jaya,rumah tertimbun,rumah timbun,4. Kesejahteraan Sosial,Netral
Laki laki,8-11 tahun,Pidie Jaya,banjir datang lagi,banjir datang,Lainnya,Netral
Laki laki,8-11 tahun,Pidie Jaya,bantuan datang,bantu datang,5. Pengetahuan Bencana,Netral
Laki laki,8-11 tahun,Pidie Jaya,bantuan alat sekolah,bantu alat sekolah,1. Pendidikan,Netral
Laki laki,8-11 tahun,Pidie Jaya,bantuan alat sekolah,bantu alat sekolah,5. Pengetahuan Bencana,Netral
Laki laki,8-11 tahun,Pidie Jaya,berani,berani,Lainnya,Netral
Laki laki,8-11 tahun,Pidie Jaya,ambil nasi di posko,ambil nasi posko,Lainnya,Netral
Laki laki,8-11 tahun,Pidie Jaya,takut waktu banjir,takut waktu banjir,3. Perlindungan Anak,Negatif
Laki laki,8-11 tahun,Pidie Jaya,takut,takut,3. Perlindungan Anak,Negatif
Laki laki,8-11 tahun,Pidie Jaya,saya merasa sedih,rasa sedih,3. Perlindungan Anak,Negatif
Laki laki,8-11 tahun,Pidie Jaya,lapar tidak ada makanan setelah banjir,lapar ada makan banjir,2. Kesehatan,Negatif
Laki laki,8-11 tahun,Pidie Jaya,belajar,ajar,Lainnya,Netral
Laki laki,8-11 tahun,Pidie Jaya,bermain,main,Lainnya,Netral
Laki laki,8-11 tahun,Pidie Jaya,bersih bersih,bersih bersih,Lainnya,Netral
Laki laki,8-11 tahun,Pidie Jaya,lelah karena capek,lelah capek,2. Kesehatan,Negatif
Laki laki,8-11 tahun,Pidie Jaya,berjalan ke acara pss,jalan acara pss,Lainnya,Netral
Perempuan,12-14 tahun,Pidie Jaya,merasa takut,rasa takut,3. Perlindungan Anak,Negatif
Perempuan,12-14 tahun,Pidie Jaya,tentang sekolah tertimbun,sekolah timbun,1. Pendidikan,Netral
Perempuan,12-14 tahun,Pidie Jaya,pingin sekolah dulu yang rapi,pingin sekolah dulu rapi,1. Pendidikan,Netral
Perempuan,12-14 tahun,Pidie Jaya,pingin sekolah dulu yang rapi,pingin sekolah dulu rapi,6. Harapan Anak,Netral
Perempuan,12-14 tahun,Pidie Jaya,ingin melihathalaman rumah yang bersih,melihathalaman rumah bersih,3. Perlindungan Anak,Positif
Perempuan,12-14 tahun,Pidie Jaya,ingin melihathalaman rumah yang bersih,melihathalaman rumah bersih,4. Kesejahteraan Sosial,Positif
Perempuan,12-14 tahun,Pidie Jaya,membantu ibu,bantu ibu,5. Pengetahuan Bencana,Netral
Perempuan,12-14 tahun,Pidie Jaya,membantu membersihkan barang yang rusak,bantu bersih barang rusak,4. Kesejahteraan Sosial,Negatif
Perempuan,12-14 tahun,Pidie Jaya,membantu membersihkan barang yang rusak,bantu bersih barang rusak,5. Pengetahuan Bencana,Negatif
Perempuan,12-14 tahun,Pidie Jaya,membantu membersihkan rumah,bantu bersih rumah,4. Kesejahteraan Sosial,Netral
Perempuan,12-14 tahun,Pidie Jaya,membantu membersihkan rumah,bantu bersih rumah,5. Pengetahuan Bencana,Netral
Perempuan,12-14 tahun,Pidie Jaya,cerita rumah rusak,cerita rumah rusak,4. Kesejahteraan Sosial,Negatif
Perempuan,12-14 tahun,Pidie Jaya,tentang rumah,rumah,4. Kesejahteraan Sosial,Netral
Perempuan,12-14 tahun,Pidie Jaya,berani,berani,Lainnya,Netral
Perempuan,12-14 tahun,Pidie Jaya,sangat lelah karena banjir,sangat lelah banjir,2. Kesehatan,Negatif
Perempuan,12-14 tahun,Pidie Jaya,sedih,sedih,3. Perlindungan Anak,Negatif
Perempuan,12-14 tahun,Pidie Jaya,senang karena selamat,senang selamat,Lainnya,Positif
Perempuan,12-14 tahun,Pidie Jaya,sakit perut,sakit perut,2. Kesehatan,Negatif
Perempuan,12-14 tahun,Pidie Jaya,membersihkan lumpur,bersih lumpur,2. Kesehatan,Netral
Perempuan,12-14 tahun,Pidie Jaya,membantu membersihkan sekolah,bantu bersih sekolah,1. Pendidikan,Netral
Perempuan,12-14 tahun,Pidie Jaya,membantu membersihkan sekolah,bantu bersih sekolah,5. Pengetahuan Bencana,Netral
Perempuan,12-14 tahun,Pidie Jaya,berjalan ke pengungsian,jalan ungsi,Lainnya,Netral
Perempuan,12-14 tahun,Pidie Jaya,berjalan kesekolah,jalan seko,Lainnya,Netral
Laki laki,12-14 tahun,Pidie Jaya,ingin membersihkan rumah,bersih rumah,4. Kesejahteraan Sosial,Netral
Laki laki,12-14 tahun,Pidie Jaya,ingin membersihkan tanah tertimbun,bersih tanah timbun,Lainnya,Netral
Laki laki,12-14 tahun,Pidie Jaya,saya mau belajar lagi,mau ajar,6. Harapan Anak,Netral
Laki laki,12-14 tahun,Pidie Jaya,saya ingin hidup bersih,ingin hidup bersih,6. Harapan Anak,Netral
Laki laki,12-14 tahun,Pidie Jaya,saya tidak tersa tenang jika hujan,tidak tersa tenang hujan,Lainnya,Netral
Laki laki,12-14 tahun,Pidie Jaya,bermain tidak seperti dulu,main seperti dulu,Lainnya,Netral
Laki laki,12-14 tahun,Pidie Jaya,memikirkan rumah rusak,pikir rumah rusak,4. Kesejahteraan Sosial,Negatif
Laki laki,12-14 tahun,Pidie Jaya,disuruh bersih rumah,suruh bersih rumah,4. Kesejahteraan Sosial,Netral
Laki laki,12-14 tahun,Pidie Jaya,cerita rumah rusak,cerita rumah rusak,4. Kesejahteraan Sosial,Negatif
Laki laki,12-14 tahun,Pidie Jaya,rumah tertanam lumpur,rumah tanam lumpur,2. Kesehatan,Netral
Laki laki,12-14 tahun,Pidie Jaya,rumah tertanam lumpur,rumah tanam lumpur,4. Kesejahteraan Sosial,Netral
Laki laki,12-14 tahun,Pidie Jaya,rumah tertanam lumpur,rumah tanam lumpur,5. Pengetahuan Bencana,Netral
Laki laki,12-14 tahun,Pidie Jaya,sangat berani,sangat berani,Lainnya,Netral
Laki laki,12-14 tahun,Pidie Jaya,saya lelah,lelah,2. Kesehatan,Negatif
Laki laki,12-14 tahun,Pidie Jaya,karena rasa sakit,rasa sakit,2. Kesehatan,Negatif
Laki laki,12-14 tahun,Pidie Jaya,merasa senang,rasa senang,Lainnya,Positif
Laki laki,12-14 tahun,Pidie Jaya,lapar,lapar,2. Kesehatan,Negatif
Laki laki,12-14 tahun,Pidie Jaya,bermain di atas lumpur,main atas lumpur,2. Kesehatan,Netral
Laki laki,12-14 tahun,Pidie Jaya,kesadaran sendiri,sadar sendiri,4. Kesejahteraan Sosial,Netral
Laki laki,12-14 tahun,Pidie Jaya,bantu mengeluarkan barang,bantu keluar barang,4. Kesejahteraan Sosial,Netral
Laki laki,12-14 tahun,Pidie Jaya,bantu mengeluarkan barang,bantu keluar barang,5. Pengetahuan Bencana,Netral
Laki laki,12-14 tahun,Pidie Jaya,membersihkan rumah,bersih rumah,4. Kesejahteraan Sosial,Netral
Perempuan,8-11 tahun,Aceh Tamiang,kehilangan baju,hilang baju,Lainnya,Negatif
Perempuan,8-11 tahun,Aceh Tamiang,kehilangan alat sekolah,hilang alat sekolah,1. Pendidikan,Negatif
Perempuan,8-11 tahun,Aceh Tamiang,mati lampu,mati lampu,Lainnya,Netral
Perempuan,8-11 tahun,Aceh Tamiang,ibu menangis karena banyak barang hilang karena banjir,ibu menang banyak barang hilang banjir,4. Kesejahteraan Sosial,Negatif
Perempuan,8-11 tahun,Aceh Tamiang,melihat hantu,lihat hantu,Lainnya,Netral
Perempuan,8-11 tahun,Aceh Tamiang,jangan sampai banjir terjadi lagi,jangan banjir jadi,Lainnya,Netral
Perempuan,8-11 tahun,Aceh Tamiang,makan mie,makan mie,2. Kesehatan,Netral
Perempuan,8-11 tahun,Aceh Tamiang,makan telur,makan telur,2. Kesehatan,Netral
Perempuan,8-11 tahun,Aceh Tamiang,pegal,pegal,2. Kesehatan,Negatif
Perempuan,8-11 tahun,Aceh Tamiang,gelisah air semakin tinggi,gelisah air makin tinggi,Lainnya,Netral
Perempuan,8-11 tahun,Aceh Tamiang,sedih tidak bisa sekolah karena tidak ada pakaian,sedih bisa sekolah tidak pakai,1. Pendidikan,Negatif
Perempuan,8-11 tahun,Aceh Tamiang,sedih tidak bisa sekolah karena tidak ada pakaian,sedih bisa sekolah tidak pakai,3. Perlindungan Anak,Negatif
Perempuan,8-11 tahun,Aceh Tamiang,tunggu diberikan makanan baru makan,tunggu beri makan baru makan,2. Kesehatan,Netral
Perempuan,8-11 tahun,Aceh Tamiang,tunggu diberikan makanan baru makan,tunggu beri makan baru makan,6. Harapan Anak,Netral
Perempuan,8-11 tahun,Aceh Tamiang,berjalan jauh ke kampung sebelah,jalan jauh kampung belah,Lainnya,Netral
Perempuan,8-11 tahun,Aceh Tamiang,terkena kutu air,kena kutu air,Lainnya,Netral
Laki laki,8-11 tahun,Aceh Tamiang,makan pakai indomie,makan pakai indomie,2. Kesehatan,Netral
Laki laki,8-11 tahun,Aceh Tamiang,makan pakai garam,makan pakai garam,2. Kesehatan,Netral
Laki laki,8-11 tahun,Aceh Tamiang,sedih liat keadaan,sedih liat ada,3. Perlindungan Anak,Negatif
Laki laki,8-11 tahun,Aceh Tamiang,orang membersihkan rumah,orang bersih rumah,4. Kesejahteraan Sosial,Netral
Laki laki,8-11 tahun,Aceh Tamiang,lihat ular,lihat ular,3. Perlindungan Anak,Netral
Laki laki,8-11 tahun,Aceh Tamiang,lihat buaya,lihat buaya,Lainnya,Netral
Laki laki,8-11 tahun,Aceh Tamiang,suara ular,suara ular,3. Perlindungan Anak,Netral
Laki laki,8-11 tahun,Aceh Tamiang,dengar kabarberita banjir,dengar kabarberita banjir,Lainnya,Netral
Laki laki,8-11 tahun,Aceh Tamiang,berita orang hanyut,berita orang hanyut,Lainnya,Netral
Laki laki,8-11 tahun,Aceh Tamiang,suara minta tolong,suara minta,Lainnya,Netral
Laki laki,8-11 tahun,Aceh Tamiang,susah untuk masak ga ada gas dan kayu,susah masak ga gas kayu,Lainnya,Negatif
Laki laki,8-11 tahun,Aceh Tamiang,susah air minum,susah air minum,2. Kesehatan,Negatif
Laki laki,8-11 tahun,Aceh Tamiang,pegel angkat barang,gel angkat barang,4. Kesejahteraan Sosial,Netral
Laki laki,8-11 tahun,Aceh Tamiang,suasana menjadi gaduh karena banjir,suasana jadi gaduh banjir,Lainnya,Netral
Laki laki,8-11 tahun,Aceh Tamiang,sedih lihat orang lain yang terkena banjir lebih parah,sedih lihat orang yang kena banjir lebih parah,3. Perlindungan Anak,Negatif
Laki laki,8-11 tahun,Aceh Tamiang,lapar tidak ada makanan setelah banjir,lapar ada makan banjir,2. Kesehatan,Negatif
Laki laki,8-11 tahun,Aceh Tamiang,masuk angin tidak ada penghangat seperti selimut,masuk angin ada hangat selimut,Lainnya,Netral
Laki laki,8-11 tahun,Aceh Tamiang,pegel karena berenang,gel renang,Lainnya,Netral
Laki laki,8-11 tahun,Aceh Tamiang,pegel angkat barang karena mengungsi,gel angkat barang ungsi,4. Kesejahteraan Sosial,Netral
Laki laki,8-11 tahun,Aceh Tamiang,terkena paku,kena paku,Lainnya,Netral
Laki laki,8-11 tahun,Aceh Tamiang,hampir tenggelam dan hanyut,hampir tenggelam hanyut,Lainnya,Netral
Laki laki,8-11 tahun,Aceh Tamiang,berjalan untuk mengecek saudara di kampung sebelah,jalan ecek saudara kampung belah,Lainnya,Netral
Perempuan,12-14 tahun,Aceh Tamiang,barang sekolah hancur,barang sekolah hancur,1. Pendidikan,Netral
Perempuan,12-14 tahun,Aceh Tamiang,barang sekolah hancur,barang sekolah hancur,4. Kesejahteraan Sosial,Netral
Perempuan,12-14 tahun,Aceh Tamiang,buku habis,buku habis,1. Pendidikan,Netral
Perempuan,12-14 tahun,Aceh Tamiang,takut barang sekolah hanyut,takut barang sekolah hanyut,1. Pendidikan,Negatif
Perempuan,12-14 tahun,Aceh Tamiang,takut barang sekolah hanyut,takut barang sekolah hanyut,3. Perlindungan Anak,Negatif
Perempuan,12-14 tahun,Aceh Tamiang,takut barang sekolah hanyut,takut barang sekolah hanyut,4. Kesejahteraan Sosial,Negatif
Perempuan,12-14 tahun,Aceh Tamiang,banyak lumpur,banyak lumpur,2. Kesehatan,Netral
Perempuan,12-14 tahun,Aceh Tamiang,tanaman mati,tanam mati,5. Pengetahuan Bencana,Netral
Perempuan,12-14 tahun,Aceh Tamiang,lingkungan kotor dan rusak,lingkung kotor rusak,2. Kesehatan,Negatif
Perempuan,12-14 tahun,Aceh Tamiang,bunga hanyut,bunga hanyut,Lainnya,Netral
Perempuan,12-14 tahun,Aceh Tamiang,ingin cepat surut,cepat surut,Lainnya,Netral
Perempuan,12-14 tahun,Aceh Tamiang,mengeluh barang hanyut,keluh barang hanyut,4. Kesejahteraan Sosial,Netral
Perempuan,12-14 tahun,Aceh Tamiang,banyak orang kelaparan,banyak orang lapar,2. Kesehatan,Negatif
Perempuan,12-14 tahun,Aceh Tamiang,banyak lingkungan hancur,banyak lingkung hancur,Lainnya,Netral
Perempuan,12-14 tahun,Aceh Tamiang,makan mie,makan mie,2. Kesehatan,Netral
Perempuan,12-14 tahun,Aceh Tamiang,makan telur,makan telur,2. Kesehatan,Netral
Perempuan,12-14 tahun,Aceh Tamiang,pegel bersihin lumpur,gel bersihin lumpur,2. Kesehatan,Netral
Perempuan,12-14 tahun,Aceh Tamiang,pegel tidur di anjanganjangan alas kayu,gel tidur anjanganjangan alas kayu,Lainnya,Netral
Perempuan,12-14 tahun,Aceh Tamiang,sedih suasana berubah,sedih suasana ubah,3. Perlindungan Anak,Negatif
Perempuan,12-14 tahun,Aceh Tamiang,takur ga selamat,takur ga selamat,Lainnya,Netral
Perempuan,12-14 tahun,Aceh Tamiang,bersyukur,syukur,5. Pengetahuan Bencana,Positif
Perempuan,12-14 tahun,Aceh Tamiang,bosen,bosen,Lainnya,Netral
Perempuan,12-14 tahun,Aceh Tamiang,sakit perut karena makan indomie dan kurang makan,sakit perut makan indomie kurang makan,2. Kesehatan,Negatif
Perempuan,12-14 tahun,Aceh Tamiang,sakit perut dan lambung karena mie,sakit perut lambung mie,2. Kesehatan,Negatif
Perempuan,12-14 tahun,Aceh Tamiang,membersihkan lumpur,bersih lumpur,2. Kesehatan,Netral
Perempuan,12-14 tahun,Aceh Tamiang,membersihkan barang,bersih barang,4. Kesejahteraan Sosial,Netral
Perempuan,12-14 tahun,Aceh Tamiang,nyari makanan ke luar desa,nyari makan luar desa,2. Kesehatan,Netral
Laki laki,12-14 tahun,Aceh Tamiang,ingin air cepat surut,air cepat surut,Lainnya,Netral
Laki laki,12-14 tahun,Aceh Tamiang,mama kelelahan membersihkan barang,mama lelah bersih barang,2. Kesehatan,Negatif
Laki laki,12-14 tahun,Aceh Tamiang,mama kelelahan membersihkan barang,mama lelah bersih barang,4. Kesejahteraan Sosial,Negatif
Laki laki,12-14 tahun,Aceh Tamiang,bantuan,bantu,5. Pengetahuan Bencana,Netral
Laki laki,12-14 tahun,Aceh Tamiang,doa kepada allah agar aman,doa allah aman,3. Perlindungan Anak,Positif
Laki laki,12-14 tahun,Aceh Tamiang,banyak barang hilang,banyak barang hilang,4. Kesejahteraan Sosial,Negatif
Laki laki,12-14 tahun,Aceh Tamiang,pagar hanyut,pagar hanyut,Lainnya,Netral
Laki laki,12-14 tahun,Aceh Tamiang,banyak debu abu,banyak debu abu,2. Kesehatan,Netral
Laki laki,12-14 tahun,Aceh Tamiang,banyak sampah,banyak sampah,5. Pengetahuan Bencana,Netral
Laki laki,12-14 tahun,Aceh Tamiang,banyak lumpur susah berjalan,banyak lumpur susah jalan,2. Kesehatan,Negatif
Laki laki,12-14 tahun,Aceh Tamiang,ngeluh lingkungan berdebu,ngeluh lingkung debu,2. Kesehatan,Netral
Laki laki,12-14 tahun,Aceh Tamiang,semoga aceh tamiang cepat pulih,moga aceh tamiang cepat pulih,6. Harapan Anak,Netral
Laki laki,12-14 tahun,Aceh Tamiang,semoga cepat dapat bantuan dari pemerintah,moga cepat bantu perintah,5. Pengetahuan Bencana,Netral
Laki laki,12-14 tahun,Aceh Tamiang,mie,mie,Lainnya,Netral
Laki laki,12-14 tahun,Aceh Tamiang,sarden,sarden,Lainnya,Netral
Laki laki,12-14 tahun,Aceh Tamiang,roti,roti,Lainnya,Netral
Laki laki,12-14 tahun,Aceh Tamiang,sering angkat barang,sering angkat barang,4. Kesejahteraan Sosial,Netral
Laki laki,12-14 tahun,Aceh Tamiang,pegal,pegal,2. Kesehatan,Negatif
Laki laki,12-14 tahun,Aceh Tamiang,berharap ada bantuan dari pemerintah,harap bantu perintah,5. Pengetahuan Bencana,Netral
Laki laki,12-14 tahun,Aceh Tamiang,berharap ada bantuan dari pemerintah,harap bantu perintah,6. Harapan Anak,Netral
Laki laki,12-14 tahun,Aceh Tamiang,sedih liat orang lain tidak ada makanan,sedih liat orang tidak makan,2. Kesehatan,Negatif
Laki laki,12-14 tahun,Aceh Tamiang,sedih liat orang lain tidak ada makanan,sedih liat orang tidak makan,3. Perlindungan Anak,Negatif
Laki laki,12-14 tahun,Aceh Tamiang,khawatir,khawatir,3. Perlindungan Anak,Negatif
Laki laki,12-14 tahun,Aceh Tamiang,bersyukur,syukur,5. Pengetahuan Bencana,Positif
Laki laki,12-14 tahun,Aceh Tamiang,muak,muak,Lainnya,Netral
Laki laki,12-14 tahun,Aceh Tamiang,lapar,lapar,2. Kesehatan,Negatif
Laki laki,12-14 tahun,Aceh Tamiang,main lumpur,main lumpur,2. Kesehatan,Netral
Laki laki,12-14 tahun,Aceh Tamiang,main bola,main bola,Lainnya,Netral
Laki laki,12-14 tahun,Aceh Tamiang,kena kutu air,kena kutu air,Lainnya,Netral
Laki laki,12-14 tahun,Aceh Tamiang,jalan ke kampung lain,jalan kampung,Lainnya,Netral
Laki laki,12-14 tahun,Aceh Tamiang,ke kota lintang cari bantuan makanan,kota lintang cari bantu makan,2. Kesehatan,Netral
Laki laki,12-14 tahun,Aceh Tamiang,ke kota lintang cari bantuan makanan,kota lintang cari bantu makan,5. Pengetahuan Bencana,Netral
Perempuan,8-11 tahun,Aceh Utara,pusing sakit kepala,pusing sakit kepala,2. Kesehatan,Negatif
Perempuan,8-11 tahun,Aceh Utara,takut kehilangan ibu,takut hilang ibu,3. Perlindungan Anak,Negatif
Perempuan,8-11 tahun,Aceh Utara,air naik rumah hancur,air naik rumah hancur,4. Kesejahteraan Sosial,Netral
Perempuan,8-11 tahun,Aceh Utara,khawatir rumah rusak,khawatir rumah rusak,3. Perlindungan Anak,Negatif
Perempuan,8-11 tahun,Aceh Utara,khawatir rumah rusak,khawatir rumah rusak,4. Kesejahteraan Sosial,Negatif
Perempuan,8-11 tahun,Aceh Utara,banjir lagi,banjir,Lainnya,Netral
Perempuan,8-11 tahun,Aceh Utara,kepikiran banjir datang lagi,pikir banjir datang,Lainnya,Netral
Perempuan,8-11 tahun,Aceh Utara,takut air naik,takut air naik,3. Perlindungan Anak,Negatif
Perempuan,8-11 tahun,Aceh Utara,susah tidur,susah tidur,Lainnya,Negatif
Perempuan,8-11 tahun,Aceh Utara,sering ingat kejadian banjir,sering ingat jadi banjir,Lainnya,Netral
Perempuan,8-11 tahun,Aceh Utara,melihat banyak rumah rusak,lihat banyak rumah rusak,4. Kesejahteraan Sosial,Negatif
Perempuan,8-11 tahun,Aceh Utara,melihat banjir besar,lihat banjir besar,Lainnya,Netral
Perempuan,8-11 tahun,Aceh Utara,melihat orang menangis,lihat orang menang,Lainnya,Netral
Perempuan,8-11 tahun,Aceh Utara,sedih melihat kondisi sekitar,sedih lihat kondisi,3. Perlindungan Anak,Negatif
Perempuan,8-11 tahun,Aceh Utara,dengar kabar rumah hancur dari orang lain,dengar kabar rumah hancur orang,4. Kesejahteraan Sosial,Netral
Perempuan,8-11 tahun,Aceh Utara,dengar suara ramai,dengar suara ramai,Lainnya,Netral
Perempuan,8-11 tahun,Aceh Utara,minum air hujan,minum air hujan,2. Kesehatan,Netral
Perempuan,8-11 tahun,Aceh Utara,susah dapat air bersih,susah air bersih,Lainnya,Negatif
Perempuan,8-11 tahun,Aceh Utara,makan seadanya,makan ada,2. Kesehatan,Netral
Perempuan,8-11 tahun,Aceh Utara,tidak enak makan,enak makan,2. Kesehatan,Netral
Perempuan,8-11 tahun,Aceh Utara,badan lemas,badan lemas,Lainnya,Netral
Perempuan,8-11 tahun,Aceh Utara,badan gemetar,badan gemetar,Lainnya,Netral
Perempuan,8-11 tahun,Aceh Utara,merasa tidak nyaman,rasa nyaman,3. Perlindungan Anak,Positif
Perempuan,8-11 tahun,Aceh Utara,bingung mau tinggal dimana,bingung mau tinggal,6. Harapan Anak,Netral
Perempuan,8-11 tahun,Aceh Utara,tidak ingin sekolah lagi,ingin sekolah,1. Pendidikan,Netral
Perempuan,8-11 tahun,Aceh Utara,tidak ingin sekolah lagi,ingin sekolah,6. Harapan Anak,Netral
Perempuan,8-11 tahun,Aceh Utara,sedih melihat temanteman,sedih lihat temanteman,3. Perlindungan Anak,Negatif
Perempuan,8-11 tahun,Aceh Utara,takut kalau tidak bisa pulang lagi ke rumah,takut kalau bisa pulang ke rumah,3. Perlindungan Anak,Negatif
Perempuan,8-11 tahun,Aceh Utara,takut kalau tidak bisa pulang lagi ke rumah,takut kalau bisa pulang ke rumah,4. Kesejahteraan Sosial,Negatif
Perempuan,8-11 tahun,Aceh Utara,merasa cemas,rasa cemas,3. Perlindungan Anak,Negatif
Perempuan,8-11 tahun,Aceh Utara,trauma,trauma,3. Perlindungan Anak,Negatif
Perempuan,8-11 tahun,Aceh Utara,sakit perut,sakit perut,2. Kesehatan,Negatif
Perempuan,8-11 tahun,Aceh Utara,sakit perut berkepanjangan,sakit perut panjang,2. Kesehatan,Negatif
Perempuan,8-11 tahun,Aceh Utara,lapar,lapar,2. Kesehatan,Negatif
Perempuan,8-11 tahun,Aceh Utara,tidak nafsu makan,nafsu makan,2. Kesehatan,Netral
Perempuan,8-11 tahun,Aceh Utara,sakit pinggang,sakit pinggang,2. Kesehatan,Negatif
Perempuan,8-11 tahun,Aceh Utara,membantu bersihkan rumah,bantu sih rumah,4. Kesejahteraan Sosial,Netral
Perempuan,8-11 tahun,Aceh Utara,membantu bersihkan rumah,bantu sih rumah,5. Pengetahuan Bencana,Netral
Perempuan,8-11 tahun,Aceh Utara,ambil barang sekolah,ambil barang sekolah,1. Pendidikan,Netral
Perempuan,8-11 tahun,Aceh Utara,ambil barang sekolah,ambil barang sekolah,4. Kesejahteraan Sosial,Netral
Perempuan,8-11 tahun,Aceh Utara,membantu keluarga,bantu keluarga,3. Perlindungan Anak,Netral
Perempuan,8-11 tahun,Aceh Utara,membantu keluarga,bantu keluarga,5. Pengetahuan Bencana,Netral
Perempuan,8-11 tahun,Aceh Utara,membersihkan rumah nenek,bersih rumah nenek,4. Kesejahteraan Sosial,Netral
Perempuan,8-11 tahun,Aceh Utara,pergi ke rumah saudara,pergi rumah saudara,4. Kesejahteraan Sosial,Netral
Perempuan,8-11 tahun,Aceh Utara,bantu bersihkan rumah,bantu sih rumah,4. Kesejahteraan Sosial,Netral
Perempuan,8-11 tahun,Aceh Utara,bantu bersihkan rumah,bantu sih rumah,5. Pengetahuan Bencana,Netral
Perempuan,8-11 tahun,Aceh Utara,jalan jauh,jalan jauh,Lainnya,Netral
Laki laki,8-11 tahun,Aceh Utara,kepikiran mau tinggal dimana,pikir mau tinggal,6. Harapan Anak,Netral
Laki laki,8-11 tahun,Aceh Utara,pusing abis sekolah ga ada buku,pusing abis sekolah ga buku,1. Pendidikan,Netral
Laki laki,8-11 tahun,Aceh Utara,hilang baju,hilang baju,Lainnya,Negatif
Laki laki,8-11 tahun,Aceh Utara,rumah bergeser,rumah geser,4. Kesejahteraan Sosial,Netral
Laki laki,8-11 tahun,Aceh Utara,rumah hancur,rumah hancur,4. Kesejahteraan Sosial,Netral
Laki laki,8-11 tahun,Aceh Utara,banyak pohon tumbang di jalan,banyak pohon tumbang jalan,5. Pengetahuan Bencana,Netral
Laki laki,8-11 tahun,Aceh Utara,sekolah retak,sekolah retak,1. Pendidikan,Netral
Laki laki,8-11 tahun,Aceh Utara,banyak yang hilang,banyak hilang,Lainnya,Negatif
Laki laki,8-11 tahun,Aceh Utara,dapur rumahnya hilang,dapur rumah hilang,4. Kesejahteraan Sosial,Negatif
Laki laki,8-11 tahun,Aceh Utara,orang nangis,orang nang,Lainnya,Netral
Laki laki,8-11 tahun,Aceh Utara,suara lembu,suara lembu,Lainnya,Netral
Laki laki,8-11 tahun,Aceh Utara,dimarahin orang tua,dimarahin orang tua,Lainnya,Netral
Laki laki,8-11 tahun,Aceh Utara,orang minta bantuan,orang minta bantu,5. Pengetahuan Bencana,Netral
Laki laki,8-11 tahun,Aceh Utara,orang minta tolong,orang minta,Lainnya,Netral
Laki laki,8-11 tahun,Aceh Utara,kabar naik air lagi,kabar naik air,Lainnya,Netral
Laki laki,8-11 tahun,Aceh Utara,minum air hujan,minum air hujan,2. Kesehatan,Netral
Laki laki,8-11 tahun,Aceh Utara,makan mie mentah,makan mie mentah,2. Kesehatan,Netral
Laki laki,8-11 tahun,Aceh Utara,hambar,hambar,Lainnya,Netral
Laki laki,8-11 tahun,Aceh Utara,sakit,sakit,2. Kesehatan,Negatif
Laki laki,8-11 tahun,Aceh Utara,angkat baju,angkat baju,Lainnya,Netral
Laki laki,8-11 tahun,Aceh Utara,degdegan banjir lagi,degdegan banjir,Lainnya,Netral
Laki laki,8-11 tahun,Aceh Utara,berdoa,doa,Lainnya,Netral
Laki laki,8-11 tahun,Aceh Utara,takut,takut,3. Perlindungan Anak,Negatif
Laki laki,8-11 tahun,Aceh Utara,sedih,sedih,3. Perlindungan Anak,Negatif
Laki laki,8-11 tahun,Aceh Utara,trauma kalau hujan,trauma kalau hujan,3. Perlindungan Anak,Negatif
Laki laki,8-11 tahun,Aceh Utara,hampir muntah,hampir muntah,Lainnya,Netral
Laki laki,8-11 tahun,Aceh Utara,sakit perut,sakit perut,2. Kesehatan,Negatif
Laki laki,8-11 tahun,Aceh Utara,terpaksa makan,paksa makan,2. Kesehatan,Netral
Laki laki,8-11 tahun,Aceh Utara,lapar,lapar,2. Kesehatan,Negatif
Laki laki,8-11 tahun,Aceh Utara,cari barang,cari barang,4. Kesejahteraan Sosial,Netral
Laki laki,8-11 tahun,Aceh Utara,bersihin rumah,bersihin rumah,4. Kesejahteraan Sosial,Netral
Laki laki,8-11 tahun,Aceh Utara,jagain adik,jagain adik,Lainnya,Netral
Laki laki,8-11 tahun,Aceh Utara,bersihin baju kotor,bersihin baju kotor,2. Kesehatan,Netral
Laki laki,8-11 tahun,Aceh Utara,bersihin sepatu,bersihin sepatu,Lainnya,Netral
Laki laki,8-11 tahun,Aceh Utara,cari alat olahraga,cari alat olahraga,Lainnya,Netral
