Dimensi_Utama,Sub_Dimensi,Jumlah
3. Perlindungan Anak,6.2.2 Hunian keluarga,1
5. Pengetahuan Bencana,4.1.1.2 Kerusakan rumah,1
6. Harapan Anak,6.1.4.1 Kebutuhan sandang,1
6. Harapan Anak,5.2.2 Menjaga lingkungan,1
6. Harapan Anak,5.2.1 Evakuasi,1
6. Harapan Anak,3.6.1 Ruang aman,1
6. Harapan Anak,1.2.2 Pelibatan pembersihan,1
6. Harapan Anak,3.4.1 Kehilangan keluarga,1
Lainnya,3.6.1 Ruang aman,1
Lainnya,5.3.2 Rasa syukur,1
